city,lon,lat,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sunrise,sunset,country,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,air_quality_dt
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:51,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 10:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,291.35,289.96,291.35,291.35,1019,28,10000,1.58,115,78,27/12/2024 9:59,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 10:00
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:58,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 13:58
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:53,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:48,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 13:58
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.72,284.14,284.14,1020,93,1000,3.09,40,100,27/12/2024 13:53,27/12/2024 2:00,27/12/2024 12:06,PK,5,2803.8,0.07,97.33,29.68,26.94,227.93,254.84,22.29,27/12/2024 13:58
Karachi,67.0822,24.9056,Haze,haze,293.05,292.14,293.05,293.05,1020,40,4000,3.09,150,0,27/12/2024 13:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,3204.35,15.42,112.41,1.65,27.9,149.9,192.98,39.52,27/12/2024 14:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.84,285.02,285.84,285.84,1021,71,10000,3.08,49,52,27/12/2024 13:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,5874.63,72.42,208.38,0,25.03,262.3,323.13,45.6,27/12/2024 13:58
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,1500,1.54,360,100,27/12/2024 14:55,27/12/2024 2:00,27/12/2024 12:06,PK,5,2937.32,0.36,101.45,16.99,23.84,214.3,246.32,21.03,27/12/2024 15:00
Karachi,67.0822,24.9056,Haze,haze,291.05,290.15,291.05,291.05,1020,48,4000,2.06,100,0,27/12/2024 15:00,27/12/2024 2:14,27/12/2024 12:50,PK,5,4165.65,39.79,102.82,0,33.85,217.59,269.75,54.21,27/12/2024 15:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,285.28,284.43,285.28,285.28,1021,72,10000,3.02,99,62,27/12/2024 15:00,27/12/2024 2:10,27/12/2024 12:06,PK,5,6835.94,81.36,227.57,0,20.98,283.34,348.92,39.52,27/12/2024 15:00
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,1500,2.57,20,75,27/12/2024 15:57,27/12/2024 2:00,27/12/2024 12:06,PK,5,3738.4,8.61,115.16,2.68,20.5,263.19,309.6,19.76,27/12/2024 16:00
Karachi,67.0822,24.9056,Haze,haze,289.05,288.13,289.05,289.05,1020,55,4000,2.57,70,0,27/12/2024 15:58,27/12/2024 2:14,27/12/2024 12:50,PK,5,4486.08,47.39,91.85,0,34.33,255.02,313.7,60.29,27/12/2024 16:00
Islamabad,73.1338,33.7104,Clouds,broken clouds,284.17,283.26,284.17,284.17,1022,74,10000,3.29,126,74,27/12/2024 15:59,27/12/2024 2:10,27/12/2024 12:06,PK,5,6141.66,63.48,200.15,0,11.56,252.52,310.36,28.37,27/12/2024 16:00
Lahore,74.3436,31.5497,Mist,mist,284.14,283.72,284.14,284.14,1020,93,2000,2.57,60,75,27/12/2024 16:47,27/12/2024 2:00,27/12/2024 12:06,PK,5,5020.14,33.53,122.01,0,17.64,350.64,419.35,19.76,27/12/2024 17:00
